imdb_id,imdb_rating,imdb_votes,R
tt8291224,8.4,35112,8.207242369456557
tt9472208,4.1,73,5.460279828993393
tt6986710,6.1,5549,5.913641446142378
tt8108208,6.0,1891,5.715326804828058
tt6028796,7.3,280,5.681294964028777
tt6078866,7.2,1595,6.162148962148963
tt5013008,4.2,504,5.281890812250333
tt4971258,4.3,295,5.373345259391771
tt6903440,6.5,7361,6.246476016631173
tt7777196,5.1,2301,5.308289939595918
tt8396186,2.8,235,5.26800731261426
tt2395469,8.2,22440,7.929350441058539
tt9319812,5.6,183,5.506820723071189
tt7639372,4.3,4817,4.710004100041
tt8108200,7.5,2322,6.463085856491083
tt8130968,7.9,15499,7.566648147119285
tt8055888,7.4,3969,6.665728860720359
tt7527082,7.7,560,5.902614379084968
tt7778680,6.9,2391,6.184399918217133
tt9795264,6.7,11,5.505256869772999
tt8207768,6.8,344,5.657243319268636
tt9496212,5.3,124,5.490548780487805
tt6264938,7.4,10653,7.038865658024786
tt9105014,6.8,1335,5.952542372881356
tt7463730,5.3,1064,5.440291806958474
tt10017956,7.1,178,5.606348020911128
tt4355838,4.8,56,5.484663536776212
tt8108268,8.0,5524,7.221086739780659
tt6988116,3.6,9106,4.009271066689644
tt9239772,5.1,158,5.47622272385252
tt7255568,2.5,12671,2.9943642475776153
tt9558612,3.3,4484,4.087514318442153
tt8647400,6.6,5387,6.251324965132496
tt8484942,4.4,1449,5.096378830083566
tt5525846,5.7,169,5.512663919070813
tt8268972,3.7,153,5.396192989068978
tt8983202,7.2,20535,7.01549815498155
tt10324144,8.3,13417,7.86021863416473
tt8130558,6.8,590,5.7482200647249195
tt6862542,7.4,85,5.56247582205029
tt7485048,8.2,13972,7.790213695968917
tt8897986,9.4,895,6.528129602356406
tt8869978,7.3,5556,6.741410129096326
tt8206760,4.8,215,5.444567219152855
tt8108196,6.0,3269,5.783324666319986
tt7189494,6.0,19,5.5037713378324735
tt7881524,4.1,676,5.202015113350126
tt8785426,4.2,767,5.194796449341903
tt7228072,7.0,43,5.525363743609909
tt8902990,6.6,1659,5.9387833613849486
tt9248972,6.5,7165,6.241334712881532
tt6836936,5.5,12049,5.5
tt9248940,7.5,4077,6.739774973392125
tt8144834,8.4,1841,6.729877908316057
tt8304386,4.1,683,5.1995915802701855
tt6978954,4.6,562,5.33481384715872
tt8706884,6.0,272,5.54906204906205
tt10816510,7.8,777,6.045346353371986
tt9378950,8.7,1379,6.637612786800721
tt9420648,8.2,1369,6.455363142930989
tt11007050,5.7,7,5.500558436378141
tt7721946,3.3,4572,4.077714932126697
tt8108206,8.9,1902,6.9690595184007265
tt8983180,6.3,596,5.6540051679586565
tt11046300,8.1,1440,6.4502538071065985
tt9176260,7.1,51,5.531987455899647
tt9179426,4.6,34,5.4879242304656675
tt6102396,6.2,1978,5.809200535953551
tt6275262,5.6,959,5.527724775946806
tt4335954,5.5,215,5.5
tt7723022,3.8,108,5.429601226993865
tt7180544,8.1,5434,7.280741114192085
tt6395306,7.6,1503,6.288483637272046
tt7853242,7.2,6248,6.714174668495657
tt6774212,5.2,3538,5.324213315667439
tt5935704,7.0,24550,6.861367837338262
tt7617988,7.5,578,5.875568551007147
tt7720254,4.4,25,5.489108910891089
tt7262178,2.8,380,5.14375
tt7581902,7.1,17378,6.898772512325184
